类型	序号	模块	类与位置(file:line，相对 server 仓根)	用途	裸语句数	表名校验	列名校验	tenant/deleted 条件	参数绑定	结论或引文
CLASS	C01	sw-biz-form-biz	com/sw/ck/form/dynamic/DynamicTableManager.java:64,72	动态宽表 DDL 与 information_schema 探测	4	内部生成 generateTableName（L88-95），另有 assert 重复同一正则（L92，assert 默认关闭）	无（buildColumnDef L253-263 直接使用 FieldSpec；委托 validateColumnName L108-110 有 0 调用者）	N/A（DDL）	DDL 无值；探测语句用 ? 绑定	建表 DDL 仅 emit PRIMARY KEY(id)（L186），无索引/唯一/FK；安全性完全依赖调用方 FormDefServiceImpl:236-249、:948-950 的手工校验
CLASS	C02	sw-biz-form-biz	com/sw/ck/form/service/FormDataQueryService.java:90,99	宽表列表/详情/计数/子表查询、REFERENCE 访问校验	7（存活 L236/L250/L328/L373/L417；死代码 L458/L466）	手写 TABLE_NAME_PATTERN（L434-439）	ColumnValidation.physicalColumnName（L629/L750/L784/L898）	均手写 deleted=0 与 tenant_id=?	? 绑定（FormDataScopeSupport.appendWhere L62-84）	符合红线；死代码 ensureDeletedColumn 见 G10
CLASS	C03	sw-biz-form-biz	com/sw/ck/form/service/FormDataUpdateService.java:67,83	宽表主/子表 UPDATE、INSERT、软删	5（L212/L297/L421/L472/L496）	手写 TABLE_NAME_PATTERN（L523-528）	physicalColumnName（L263/L410/L453）	均手写	? 绑定	版本递增用 "version"="version"+1 手写，不是锁（L287/L294）
CLASS	C04	sw-biz-form-biz	com/sw/ck/form/service/FormDataDeleteService.java:57,62	软删 + RESTRICT 反查 + CASCADE	4（L114/L154/L196/L352）	手写 TABLE_NAME_PATTERN（L393-398、L166-169）	physicalColumnName + validateColumnName（L187-188）	L154 有意缺 tenant_id（跨租户扫元数据表，代码注释说明）；其余手写两者	? 绑定	见 G8、G9
CLASS	C05	sw-biz-form-biz	com/sw/ck/form/service/FormSubmitService.java:63,79	主表与子表 INSERT	2（L404 经 buildInsertSql L639-645、L473）	类内无 TABLE_NAME_PATTERN（grep 0 命中）	physicalColumnName（L379/L447）	系统列由 buildSystemColumns（L571-582）写入；tenant 取 LoginUserHolder（L294/L298）	? 绑定	见 G1；表名源自已发布元数据 formDefMapper.selectOne（L321）
CLASS	C06	sw-biz-form-biz	com/sw/ck/form/service/FormFieldEnrichmentService.java:57,68	REFERENCE 目标存在性/跨租户校验（写入期）	1（L304）	无	固定 "id" 列	N/A（仅 id + tenant）	? 绑定	见 G2；子表 REFERENCE 在 L261-266 被跳过，不做目标校验
CLASS	C07	sw-biz-form-biz	com/sw/ck/form/service/FormImportExportService.java:89,101	导入引用校验、导出子表读取、REFERENCE 显示值解析	3（L427/L741/L803）	无	L792 displayCol 来自 definition.name，未过 physicalColumnName	均手写 deleted=0 与 tenant_id=?	? 绑定	见 G3、G4、G5
CLASS	C08	sw-bpm-engine	com/sw/ck/bpm/engine/executor/SqlExecutor.java:61,71	只读外部数据源执行器（调用方提供 SQL）	1 动态 PreparedStatement（L200/L205）	N/A（表名在 SQL 文本内）	N/A	N/A	PreparedStatement（无参数绑定 API）	有意设计：SELECT-only（jsqlparser 断言 L152-162 + 去注释/分号拒绝 L144-149 + 关键字黑名单 L46-50/L164-171）、max-rows 默认 1000（L103-106/L211-214）、queryTimeout 30s（L106/L203）、conn.setReadOnly(true)（L196）、独立 Hikari 池（ExternalDatasourceManager L96-111）、审计落库（SqlExecutionAuditService L114-115/L124-125）；调用方 ExternalDatasourceController:46-65（客户端 SQL，@PreAuthorize workflow:datasource:execute）与 FormExtDatasourceQueryAdapter:32-35（注册表 sw_form_ext_query.sql_text，写入时原样保存 FormExtDataController:40-43）
CLASS	C09	sw-bpm-process	com/sw/ck/bpm/process/service/impl/BpmUrgeServiceImpl.java:55,71	催办串行化行锁（awaitInstanceRowLock）	1（L233）	N/A（固定表 sw_bpm_instance）	N/A	无 tenant_id、无 deleted（有意）	? 绑定	见 G6；同一类内有 ReentrantLock（L32/L48/L94-97 tryLock 10s）
CLASS	C10	sw-basic-notify-biz	com/sw/ck/notify/controller/P58DebugNotifyController.java:30,34	dev 验收计数	1（L79）	表名为方法参数；两处调用点传内部字面量（L65-66、L73-74）	N/A	仅 tenant_id=?，无 deleted	? 绑定	@Profile("dev")（L25）
