构件	原解析版本	收敛后版本	受影响模块数	受影响模块
com.google.errorprone:error_prone_annotations	2.27.0	2.28.0	1	Basic :: IoT
com.squareup.okhttp3:okhttp	3.12.13	4.12.0	1	Basic :: IoT
com.squareup.okio:okio	1.15.0	3.6.0	1	Basic :: IoT
com.tencentcloudapi:tencentcloud-sdk-java-common	3.1.213	3.1.1235	1	Basic :: Storage :: Biz
commons-io:commons-io	2.15.0	2.18.0	1	Biz :: Form :: Biz
commons-io:commons-io	2.16.1	2.18.0	2	Basic :: Storage :: Biz, Bootstrap
commons-io:commons-io	2.17.0	2.18.0	1	Biz :: BPM :: Engine
commons-logging:commons-logging	1.2	1.3.4	2	Basic :: IoT, Basic :: Storage :: Biz
joda-time:joda-time	2.9.9	2.13.0	2	Basic :: Storage :: Biz, Bootstrap
org.antlr:antlr4-runtime	4.13.1	4.13.2	2	Basic :: Agent, Basic :: Knowledge
org.apache.commons:commons-compress	1.25.0	1.27.1	1	Biz :: Form :: Biz
org.apache.commons:commons-compress	1.26.2	1.27.1	1	Bootstrap
org.apache.poi:poi	5.2.5	5.4.0	2	Biz :: Form :: Biz, Bootstrap
org.apache.poi:poi-ooxml	5.2.5	5.4.0	2	Biz :: Form :: Biz, Bootstrap
org.apache.poi:poi-ooxml-lite	5.2.5	5.4.0	2	Biz :: Form :: Biz, Bootstrap
org.apache.xmlbeans:xmlbeans	5.2.0	5.3.0	2	Biz :: Form :: Biz, Bootstrap
org.bouncycastle:bcprov-jdk18on	1.78.1	1.80.2	2	Basic :: Storage :: Biz, Bootstrap
org.bouncycastle:bcprov-jdk18on	1.80	1.80.2	2	Basic :: Agent, Basic :: Knowledge
org.checkerframework:checker-qual	3.43.0	3.48.3	1	Basic :: Storage :: Biz

# 依赖集合增减（收敛引起的传递集变化）
模块	动作	构件	版本
Basic :: IoT	+	com.squareup.okio:okio-jvm	3.6.0
Basic :: IoT	+	org.jetbrains.kotlin:kotlin-stdlib	1.9.25
Basic :: IoT	+	org.jetbrains.kotlin:kotlin-stdlib-common	1.9.25
Basic :: IoT	+	org.jetbrains.kotlin:kotlin-stdlib-jdk7	1.9.25
Basic :: IoT	+	org.jetbrains.kotlin:kotlin-stdlib-jdk8	1.9.25
Basic :: IoT	+	org.jetbrains:annotations	13.0
Basic :: Storage :: Biz	+	com.squareup.okhttp3:logging-interceptor	3.12.13
Basic :: Storage :: Biz	+	org.ini4j:ini4j	0.5.4
Basic :: Storage :: Biz	-	com.squareup.okhttp:logging-interceptor	2.7.5
Basic :: Storage :: Biz	-	com.squareup.okhttp:okhttp	2.7.5
Basic :: Storage :: Biz	-	javax.xml.bind:jaxb-api	2.3.0
Biz :: Form :: Biz	+	org.apache.commons:commons-lang3	3.17.0
