id	invariant	evidence_location	must_preserve_on_split
I1	single commit boundary: engine startProcess + sw_bpm_instance record in one TransactionTemplate; missing PlatformTransactionManager throws instead of degrading	sw-biz/sw-bpm/sw-bpm-process/.../listener/IotProcessTriggerListener.java:259-301	yes
I2	idempotent key unique index on sw_iot_process_trigger (tenant_id, idempotent_key)	sw-basic/sw-basic-iot/src/main/resources/db/migration/iot/postgresql/V59__p21_iot_platform.sql:286	yes (index must stay in biz)
I3	business-key guard iot-{triggerId} rejects duplicate engine start after lease reclaim	IotProcessTriggerListener.java:91-104	yes
I4	terminal state cannot be downgraded; late failure write-back rejected	sw-basic/sw-basic-iot/.../api/impl/IotProcessTriggerFacadeImpl.java (Phase 4 diff)	yes
I5	dispatchCommandIdempotent: stable caller key + concurrent same-key read-back	sw-basic/sw-basic-iot/.../service/impl/IotDeviceServiceImpl.java (Phase 4 diff)	yes
I6	recovery job: claim PENDING/FAILED->PROCESSING, backoff 1/2/4/8/16 min, max 5 retries, stale 5 min reclaim, TenantLineSuspension	sw-basic/sw-basic-iot/.../job/ProcessTriggerRecoveryJob.java:41-47,65,85-137	yes
I7	device command compensation: SENDING lease reclaim + retry budget	sw-basic/sw-basic-iot/.../job/CommandCompensationJob.java:50,117-135	yes
I8	assembly: IotAutoConfiguration gates only DeviceControlProvider; IoT beans are unconditional @Service/@Component found via scanBasePackages=com.sw.ck + @MapperScan(com.sw.ck.**.mapper)	sw-basic/sw-basic-iot/.../config/IotAutoConfiguration.java:23-27 ; sw-bootstrap/.../StarterApplication.java:14-15	boundary must be enforced by classpath/POM, not scan config
I9	device-command failure semantics: intent recorder calls facade in-tx without try/catch; DomainEventPublisher does not swallow; saveCommandFailure branch effectively unreachable after Phase 4 idempotent hit	BpmDeviceCommandIntentRecorder.java:41-58 ; BpmDeviceCommandListener.java:84-106 ; sw-common/.../event/DomainEventPublisher.java:34-36	rule explicitly or preserve
I10	Phase 4 mechanical gate has 14 hard-coded source path literals, 5 of them under sw-basic-iot; event lookup is by simple class name	sw-bootstrap/src/test/java/com/sw/ck/bootstrap/phase4/ReliableEventGateTest.java	layout choice determines whether the 5 literals break
I11	Phase 1 gate ApiOptionalContractGate.API_BASE_PACKAGES whitelists 6 base packages; all 7 methods on the 4 IoT interfaces return Long/String/void/List<String>, not Optional<T>	sw-bootstrap/src/test/java/com/sw/ck/bootstrap/architecture/ApiOptionalContractGate.java:40-46	new -api module cannot be whitelisted without a ruling
I12	sw-bpm-process uses com.alibaba.fastjson2 in 4 production files (14 sites) but does not declare it; it arrives only transitively via sw-basic-iot (tree depth 1)	IotProcessTriggerListener.java:168,170,216,231 ; BpmProcessDefController.java:306 ; IotFormContractCheckerImpl.java:3-5,60,92,106,150-151 ; BpmProcessDefServiceImpl.java:653	removing sw-basic-iot breaks compilation until fastjson2 is declared
