feature_no	dir_key	nature	evidence_pointer	mapping_P_M_I_range	registration	registration_exists	completion_date	status
1	（无独立目录）	Walking Skeleton 第 1 项	承载于 A 组早期目录与 D 组 form-binding/workflow-process-def-create/process-initiation	M04-F04-01/M04-F05-01 子集（不占用 M04-F01-01）	knowledge/features/bpm-single-node-approval.md	true	2026-08-25 前（早期批处理）	COMPLETED（历史，主索引 §5 X3 记录）
2	system-mgmt-crud	正式功能第 2 个（早期批处理）	knowledge/features/system-mgmt-crud.md；历史快照 08-25	M01/M02-F01 核心 CRUD（M01-F01-01/03、M01-F02-03、M10-F04-01 等行）	knowledge/features/system-mgmt-crud.md	true	见证据指针	COMPLETED（历史链）
3	bpm-task-center	正式功能第 3 个（早期批处理）	knowledge/features/bpm-task-center.md	M04-F05-01 子集（待办分页/详情/驳回/已办；我发起的/抄送/催办未做）	knowledge/features/bpm-task-center.md	true	见证据指针	COMPLETED（历史链）
4	storage-multi-provider	正式功能第 4 个（早期批处理）	knowledge/features/storage-multi-provider.md	M10-F06-01 ✅（I44 关）	knowledge/features/storage-multi-provider.md	true	见证据指针	COMPLETED（历史链）
5	job-scheduler	正式功能第 5 个（早期批处理）	knowledge/features/job-scheduler.md	M10-F03-01 ✅（I43 关）	knowledge/features/job-scheduler.md	true	见证据指针	COMPLETED（历史链）
6	kb-verification	正式功能第 6 个（早期批处理）	knowledge/features/kb-verification.md	I24/I25（验证型）	knowledge/features/kb-verification.md	true	见证据指针	COMPLETED（历史链）
7	auth-seam-completion	正式功能第 7 个（早期批处理）	knowledge/features/auth-seam-completion.md	I2（refresh/logout 双 token 闭环，无独立 M 明细）	knowledge/features/auth-seam-completion.md	true	见证据指针	COMPLETED（历史链）
8	feature-checklist-sync	正式功能第 8 个（早期批处理）	knowledge/features/feature-checklist-sync.md	I1（清单同步）	knowledge/features/feature-checklist-sync.md	true	见证据指针	COMPLETED（历史链）
9	vue-flow-adapter	正式功能第 9 个（早期批处理）	knowledge/features/vue-flow-adapter.md	I3 Vue Flow 部分（归属 M07 图设计器基建）	knowledge/features/vue-flow-adapter.md	true	见证据指针	COMPLETED（历史链）
10	bpmn-adapter	正式功能第 10 个（早期批处理）	knowledge/features/bpmn-adapter.md	I3 BPMN 部分（服务 M04-F06-01 查看器）	knowledge/features/bpmn-adapter.md	true	见证据指针	COMPLETED（历史链）
11	process-monitoring	正式功能第 11 个（早期批处理）	knowledge/features/process-monitoring.md	M04-F06-01 首批子集（流程图高亮/流转记录；耗时分析/干预未做）	knowledge/features/process-monitoring.md	true	见证据指针	COMPLETED（历史链）
12	checklist-gap-hardening	正式功能第 12 个（早期批处理）	knowledge/features/checklist-gap-hardening.md	I33/I43/I44（M01-F02-02、M10-F03-01、M10-F06-01 菜单）	knowledge/features/checklist-gap-hardening.md	true	见证据指针	COMPLETED（历史链）
13	data-scope-enforcement	正式功能第 13 个（早期批处理）	knowledge/features/data-scope-enforcement.md	M02-F04-01 ✅（I37 关；I46 不纳管边界）	knowledge/features/data-scope-enforcement.md	true	见证据指针	COMPLETED（历史链）
14	notify-frontend	正式功能第 14 个（早期批处理）	knowledge/features/notify-frontend.md	无独立清单 ID，服务 M05 站内信（I7 关）	knowledge/features/notify-frontend.md	true	见证据指针	COMPLETED（历史链）
15	agent-model-orchestration	正式功能第 15 个（早期批处理）	缺失：knowledge/features/agent-model-orchestration.md 不存在（见主索引 §5 缺失记录）；替代证据 product/agent-model-orchestration/passed/step-1-backend-model-management.md（step-1…step-12 共 12 份方向文件均在 passed/ 下，D53—D71）	M07-F01/F02/F04 骨架（D53—D71）	knowledge/features/agent-model-orchestration.md	true	见证据指针	COMPLETED（历史链）
16	bpm-plugin-architecture	正式功能第 16 个（早期批处理）	knowledge/features/bpm-plugin-architecture.md	M04-F08-01 ✅（D82；I47 已由 bpm-h2-v8-compat 修复指针）	knowledge/features/bpm-plugin-architecture.md	true	见证据指针	COMPLETED（历史链）
17	status-semantics-alignment	正式功能第 17 个（PASSED 归档）	knowledge/features/status-semantics-alignment.md	I51（前端 status 语义）	knowledge/features/status-semantics-alignment.md	true	见证据指针	COMPLETED（历史链）
18	sysrole-v5-column-alignment	正式功能第 18 个（PASSED 归档）	knowledge/features/sysrole-v5-column-alignment.md	P13/I26（核销闭环）	knowledge/features/sysrole-v5-column-alignment.md	true	见证据指针	COMPLETED（历史链）
19	bpm-h2-v8-compat	正式功能第 19 个（PASSED 归档）	knowledge/features/bpm-h2-v8-compat.md	P10/I47（核销）	knowledge/features/bpm-h2-v8-compat.md	true	见证据指针	COMPLETED（历史链）
20	admin-role-governance	正式功能第 20 个	product/admin-role-governance/passed/ + product/admin-role-governance/receipts/planning-stage3-review-d97.md	P24/I49（核销；不可变超管+可配管理员）	knowledge/features/admin-role-governance.md	true	见证据指针	COMPLETED（历史链）
21	user-org-association-query	正式功能第 21 个	product/user-org-association-query/passed/ + product/user-org-association-query/receipts/planning-final-review-d101.md	I32/I34/I35 关（M01-F02-01/04、M01-F03-01）	knowledge/features/user-org-association-query.md	true	见证据指针	COMPLETED（历史链）
22	department-query-filtering	正式功能第 22 个	product/department-query-filtering/passed/ + product/department-query-filtering/receipts/planning-final-review-d104.md	M01-F01-04 ✅（I31 关）	knowledge/features/department-query-filtering.md	true	见证据指针	COMPLETED（历史链）
23	agent-model-management-frontend	正式功能第 23 个	product/agent-model-management-frontend/passed/ + product/agent-model-management-frontend/receipts/planning-final-review-d107.md	P5 核销；M07-F01-01～05 ✅	knowledge/features/agent-model-management-frontend.md	true	见证据指针	COMPLETED（历史链）
24	pg-v13-migration-chain-repair	正式功能第 24 个	product/pg-v13-migration-chain-repair/passed/ + product/pg-v13-migration-chain-repair/receipts/planning-stage3-review-d111.md	I52 关（PG 全链迁移修复）	knowledge/features/pg-v13-migration-chain-repair.md	true	见证据指针	COMPLETED（历史链）
25	user-group-membership	正式功能第 25 个	product/user-group-membership/passed/ + product/user-group-membership/receipts/planning-stage3-review-d120.md	P28 核销；I36 关用户组绑定子集；M01-F04-01 🟦	knowledge/features/user-group-membership.md	true	见证据指针	COMPLETED（历史链）
26	role-menu-permission-parity	正式功能第 26 个	product/role-menu-permission-parity/passed/ + product/role-menu-permission-parity/receipts/planning-stage3-final-review-d125.md	P1 核销；M02-F02-01/F03-01 ✅	knowledge/features/role-menu-permission-parity.md	true	见证据指针	COMPLETED（历史链）
27	agent-graph-execution-observability	正式功能第 27 个	product/agent-graph-execution-observability/passed/ + product/agent-graph-execution-observability/receipts/planning-stage3-review-d149.md	P7 运行日志子集（D148）；M07-F02-04 分项	knowledge/features/agent-graph-execution-observability.md	true	见证据指针	COMPLETED（历史链）
