| M01-F01-01 | 部门管理 | 新增 | 新增部门，支持上级部门选择，构建多级组织树 | ✅ |
| M01-F01-02 | 部门管理 | 修改 | 修改部门信息，支持拖拽调整层级与排序（缺口已登记 P44） | 🟦 |
| M01-F01-03 | 部门管理 | 删除 | 删除部门，校验下属部门与在职人员后方可删除 | ✅ |
| M01-F01-04 | 部门管理 | 查询 | 按条件查询并展示部门树 | ✅ |
| M01-F01-05 | 部门管理 | 负责人设置 | 设置部门负责人/分管领导，供流程审批取值（缺口已登记 P26） | ⬜ |
| M01-F02-01 | 人员管理 | 新增 | 新增人员并开通账号，关联部门、岗位、角色 | ✅ |
| M01-F02-02 | 人员管理 | 修改 | 修改人员信息、调岗、账号启用/停用 | ✅ |
| M01-F02-03 | 人员管理 | 删除 | 删除/离职人员，保留历史数据 | ✅ |
| M01-F02-04 | 人员管理 | 查询 | 按部门、岗位、关键字等条件查询人员 | ✅ |
| M01-F02-05 | 人员管理 | 批量导入导出 | Excel 模板批量导入人员，支持导出（缺口已登记 P27） | ⬜ |
| M01-F03-01 | 岗位管理 | 维护 | 岗位新增/修改/删除/查询，人员与岗位关联 | ✅ |
| M01-F04-01 | 用户组管理 | 维护 | 虚拟组/用户组维护，跨部门人员归集，供流程与权限引用（维护与成员绑定已闭合；流程/权限消费端未接，故不升 ✅） | 🟦 |
| M01-F05-01 | 租户/公司管理 | 维护 | 多租户/多公司维护，数据隔离（如适用）（缺口已登记 P29） | ⬜ |
| M02-F01-01 | 角色管理 | 维护 | 角色新增/修改/删除/查询，角色与人员/用户组绑定 | 🟦 |
| M02-F02-01 | 菜单权限 | 配置 | 按角色配置菜单可见范围（role-menu-permission-parity D121 闭环：真实 API—Mock—页面—安全回归一致，2026-08-19） | ✅ |
| M02-F03-01 | 按钮权限 | 配置 | 按角色配置页面按钮/操作权限（按钮级）（同上，D121 闭环） | ✅ |
| M02-F04-01 | 数据权限 | 配置 | 数据范围控制：本人/本部门/本部门及下级/自定义部门/全部 | ✅ |
| M02-F05-01 | 资源管理 | 维护 | 后端 API 资源注册与鉴权策略配置（缺口已登记 P30） | ⬜ |
| M02-F06-01 | 登录认证 | 账密登录 | 账号密码登录，验证码、密码策略、登录失败锁定（P45 已核销，2026-09-01：RSA-OAEP 密码加密、验证码+有效期+客户端机器时间固定校验、Redis 一次性挑战与并发防重放、密钥版本轮换、默认租户 tenant=0 隔离、Cookie Path 修正与登录态恢复） | ✅ |
| M02-F06-02 | 登录认证 | 单点登录 | SSO/OAuth2/JWT 令牌，第三方（企微/钉钉）扫码登录（缺口已登记 P31） | ⬜ |
