问题	答案要点	复算口径
Q1 BAO-03 显式锁定与 BOM 覆盖	<dependencies> 内硬编码第三方版本 5 处：sw-basic-iot tencentcloud-sdk-java-iotexplorer 3.1.1235(compile)、sw-basic-iot fastjson2 2.0.53(compile)、sw-bpm-process fastjson2 2.0.53(compile，Phase 5 新增未提交)、sw-biz-form-biz poi-ooxml 5.2.5(compile)、sw-bootstrap embedded-postgres 2.1.0(test)；另 sw-bootstrap 自导入 zonky embedded-postgres-binaries-bom 17.5.0(import)。五者实际解析版本与声明值逐一一致。sw-dependencies 对五者 0 命中；对 poi（poi-ooxml 父构件）亦 0 命中。fastjson2 属双处未管理重复声明，同值故当前无冲突标记。全仓模块级第三方版本 <properties> 覆盖 0 处（仅根 POM 的 java/encoding 与 sw-dependencies 的 23 个版本属性）。h2 虽由 BOM 管理，但以字面量 2.3.232 硬编码，与其余 ${*.version} 风格不一致	34 POM 全解析；2 条解析命令见 command-results #2/#7
Q2 BAO-04 Enforcer 绑定	pluginManagement 32/32、effective build/plugins 0/32；execution 0 个（无 id/phase）；规则仅 dependencyConvergence；mvn -o -B validate 全反应堆 exit 0（0.219s）无 enforcer 日志 ⇒ validate/test/package 均不触发；全仓仅根 POM:80/:85 两处命中；本地仓无 enforcer-api/enforcer-rules/plexus-utils:4.0.1 ⇒ 从未执行；声明的 plugin dep GA org.apache.maven.plugins:maven-enforcer-rules 不存在于 Enforcer 发布坐标，规范坐标为 org.apache.maven.enforcer:enforcer-rules（插件自身已引入）⇒ 按现声明激活先解析失败	见 enforcer-effective.tsv（9 项）
Q3 BAO-08 H2 制品事实	声明：仅 sw-bootstrap:158-162，scope=runtime（全仓唯一 runtime 命中）；9 个 *-biz 为 test。runtime 树：10 处 h2 = 9 test + 1 runtime（sw-bootstrap 直连）。生产 Boot Jar：BOOT-INF/lib/h2-2.3.232.jar 存在（2,651,157 B），同目录另有 postgresql-42.7.5、mysql-connector-j-9.1.0、flyway-mysql-11.3.4。profile：默认 active=prod（application.yml:31），prod 用 org.postgresql.Driver；application-dev.yml:36-38 为 org.h2.Driver + jdbc:h2:mem:smart_workflow，且 application-dev.yml/application-local.yml 随制品发布 ⇒ 单环境变量即可让同一制品改用 H2。devseed V900-V903 随制品发布但 prod 不装载（application.yml:84 注释，仅 dev:73 装载）	见 artifact-facts.tsv A1-A8
Q4 BAO-09 版本身份	根 POM:9 字面 0.1.0；无 ${revision}/flatten-maven-plugin/changelist；34 个 POM 各含 1 处 <version>0.1.0</version>（共 34 处）。同坐标 0.1.0 对应 ≥4 个不同提交：tag 0.1.0=c15428f、origin/main=d18e9a3、origin/develop=073cb39、develop=76dc947（另 build-c15428f 与 tag 0.1.0 同提交）。tag 0.0.2=20fffc1 其 pom 为 1.0.0-SNAPSHOT（错配）。本地 main=20fffc1 为 1.0.0-SNAPSHOT、落后 origin/main 42、签出于 /private/tmp/p59-server-main worktree。无 distributionManagement ⇒ 无仓库级制品，身份靠 GitHub Release/build-<SHA> tag。CI：触发 push main、mvn -B -ntp install（无 -P）、Release tag=build-<full SHA>、Release 标题含 pom 版本 ⇒ 不改 pom 发列车则标题显示旧版本	见 version-identity.tsv（未 fetch、未 checkout、未改分支）
Q5 BAO-10 P58Debug 与绕过类	规则位置：根 POM prod profile(100-125)，compiler excludes **/P58Debug*.java(:113)、jar excludes **/P58Debug*.class(:123)；全仓唯一 profile、非 activeByDefault。激活：全仓无 -Pprod（CI:35 mvn -B -ntp install；start/stop.sh 无 -P）⇒ 从未生效。制品：内嵌 notify-biz 5 个 + engine 1 个 = 6 class / 3 顶层类型。命名模式外同类：VerificationRunner/BpmVerificationRunner（仅 @Profile("dev")，随制品发布）、MockCloudProvider（application-prod.yml:80-84 显式 provider-mode=mock + tencent.enabled=false ⇒ 生产默认选用 Mock 设备实现，属真实绕过实例）；安全类 debug 设施（DebugAuthenticationFilter/DebugAuthenticationProperties/DebugAuthenticationProfile、DevProperties）有启动期 fail-closed（非纯 dev/test 抛 IllegalStateException）且 prod 显式 ch.dev.test-mock=false；AgentGraphDebug* 9 类为正式产品能力（REST /agent/graph-debug-sessions + @PreAuthorize）不得纳入排除；p57-* 6 类全在 src/test 不入制品。机制判断：Maven 无 Gradle 式 source set；P58Debug 三类零跨类引用 ⇒ 排除不破坏生产编译	见 artifact-facts.tsv B1-B10
Q6 裁决	BAO-03/04/08/09/10 = CONFIRMED 5/5；BAO-10 由 Phase 2 PARTIAL 升级	见 verdicts.tsv
Q7 共同依赖与回滚边界	A 03+04：无文件交集，语义强耦合（4/14 冲突构件源于 03 硬编码版本；03 单独不能使守门通过）⇒ 合并为一阶段内部两步。B 08+10：同属「机制已写、激活路径缺失」，共需显式生产构建入口，共用制品内容断言 ⇒ 合并为一阶段内部三步。C 09：改 34 个 POM、需 Owner 策略裁决、与锁定身份耦合 ⇒ 必须独立且排在 A/B 之后（只需重跑一次 B 的制品断言）。D 展示收口：仅共写根 POM 一行 url ⇒ 保持独立且最后	见 option-comparison.tsv
Q8 Enforcer 激活即时影响	63 条 conflict 标记（compile 61 / runtime 2 / test 0）→ 去重 38 → 14 个构件 vs 32 模块；集中 sw-bootstrap 43、sw-basic-knowledge 8、sw-basic-agent 8、sw-basic-storage-biz 4，其余 28 模块 0。10/14 与 BAO-03 无关（bcprov/commons-io/commons-logging/okhttp/okio/joda-time/jackcess/antlr4/error_prone/swagger-annotations），来自 minio/tika/cos_api/qiniu/flowable/spring-ai 传递树。全命中 compile/runtime ⇒ 不依赖规则是否统计 test scope 的语义差异。附加激活阻塞：GA 错误的 plugin dependency 须先移除	见 convergence-blockers.tsv；未修复、未放宽任何规则
Q9 Phase 5 fastjson2 承接与阶段最小面	承接：Phase 5 以 sw-basic-iot-api（零依赖）替换 sw-basic-iot，bpm-process 失去传递 fastjson2 来源而 4 个生产文件直接使用 com.alibaba.fastjson2，故按 POM 注释冻结局部声明 2.0.53（但不升级）；该声明未提交属 Phase 5 工作树；BAO-03 声明点由 3 增至 4，取值已正确故集中化版本中性。最小面/验收/回滚/风险/非目标见 6A-1/6A-2/6B/6C 各行	见 scope-risks.tsv
Q10 展示收口共同回滚边界	否。唯一交集为根 pom.xml 一行 <url>（现 github.com/your-org/smart-workflow 占位），不构成共同回滚边界；无代码事实证明必须前置 ⇒ 保持独立并继续排在所有架构阶段之后	见 option-comparison.tsv D 行
