行类型	对象	事件	位置(file:line，相对 server 仓根)	模块	事务阶段	注解	业务动作	失败处理	重试/退避	幂等/去重	持久化	分类
发布器	DomainEventPublisher#publish	-	sw-framework/sw-common/src/main/java/com/sw/ck/common/event/DomainEventPublisher.java:20-35	sw-common	无（同步透传 ApplicationEventPublisher）	@Component；无 @Async、无 @Transactional	跨模块事件唯一发布出口	delegate.publishEvent(event)，无异常处理	无	无	无	基础设施
事件定义	BpmNotifyEvent	-	sw-biz/sw-bpm/sw-bpm-api/src/main/java/com/sw/ck/bpm/api/event/BpmNotifyEvent.java:20	sw-bpm-api	-	@Getter + Serializable	字段 trigger/recipientId/tenantId/actorUserId/bizId/occurrenceNo（默认 1）	-	-	-	-	必须交付
事件定义	BpmDeviceCommandEvent	-	sw-biz/sw-bpm/sw-bpm-api/src/main/java/com/sw/ck/bpm/api/event/BpmDeviceCommandEvent.java:16	sw-bpm-api	-	Serializable	字段 processInstanceId/productId/deviceName/commandKey/commandType/tenantId/actorUserId	-	-	-	-	必须交付
事件定义	IotProcessTriggerEvent	-	sw-basic/sw-basic-iot/src/main/java/com/sw/ck/iot/event/IotProcessTriggerEvent.java:14	sw-basic-iot（非 -api 模块）	-	Serializable	字段 tenantId/ruleId/scriptId/deviceId/processTemplateKey/idempotentKey/triggerSource/configuredBy/triggerId/formData/context	-	-	-	-	必须交付
事件定义	ScheduledFlowTriggerEvent	-	sw-basic/sw-basic-job/sw-basic-job-api/src/main/java/com/sw/ck/job/event/ScheduledFlowTriggerEvent.java:22	sw-basic-job-api	-	Serializable	字段 jobId/flowDefKey/formData/fireTime/tenantId；Javadoc 声明去重键 jobId+fireTime	-	-	-	-	必须交付（无监听者）
事件定义	FormSubmittedEvent	-	sw-biz/sw-biz-form/sw-biz-form-api/src/main/java/com/sw/ck/form/api/event/FormSubmittedEvent.java:17	sw-biz-form-api	-	Serializable	字段 formKey/submittedData/submitter/recordId/tenantId/dispatchChannel/processDefKey	-	-	-	-	普通（生产走端口，事件为兜底）
发布点	ApprovalTaskListener#publishNextTaskTodoCreated	BpmNotifyEvent(TODO_CREATED)	.../sw-bpm-engine/src/main/java/com/sw/ck/bpm/engine/listener/ApprovalTaskListener.java:314	sw-bpm-engine	Flowable TaskListener 回调；仓库内无 SpringProcessEngineConfiguration 事务装配	无 @Transactional（注释 L288-289 称位于引擎推进事务内）	新建待办后通知下一处理人	监听侧统一处理	-	-	-	必须交付
发布点	ProcessStartService#publishTodoCreatedEvent	BpmNotifyEvent(TODO_CREATED)	.../sw-bpm-process/src/main/java/com/sw/ck/bpm/process/service/ProcessStartService.java:301	sw-bpm-process	方法级 @Transactional（start(StartCommand) L112）	@Transactional	流程发起后通知首个待办	监听侧统一处理	-	-	-	必须交付
发布点	TaskActionService#publishProcessEvent	BpmNotifyEvent(PROCESS_RETURNED/DISAPPROVED/REJECTED/APPROVED)	.../sw-bpm-process/.../service/TaskActionService.java:598（调用点 L191、L310）	sw-bpm-process	方法级 @Transactional（execute L89/L105）	@Transactional	审批动作结果通知	监听侧统一处理	-	-	-	必须交付
发布点	TaskActionService#publishReturnedRoundTodoCreated	BpmNotifyEvent(TODO_CREATED)	.../sw-bpm-process/.../service/TaskActionService.java:631	sw-bpm-process	同上事务	@Transactional	退回后新一轮待办通知	监听侧统一处理	-	-	-	必须交付
发布点	TaskActionService#execute	BpmDeviceCommandEvent	.../sw-bpm-process/.../service/TaskActionService.java:322	sw-bpm-process	同上事务（变量读取在提交前 L152-157）	@Transactional	审批通过后下发设备指令	监听侧统一处理	-	-	-	必须交付
发布点	TaskDeadlineScheduler#notifyDeadline	BpmNotifyEvent(TASK_DEADLINE_ALERT)	.../sw-bpm-process/.../service/TaskDeadlineScheduler.java:226	sw-bpm-process	显式 TransactionTemplate（L61-66），经 notifyTx().executeWithoutResult（L139/L153）	无 @Transactional；代码注释 L137-138 明确无事务时 AFTER_COMMIT 会静默丢事件	超期告警通知	监听侧统一处理	-	-	-	必须交付
发布点	ApprovalLifecycleServiceImpl#publishNotice	BpmNotifyEvent(TASK_TRANSFERRED/DELEGATED/COMMUNICATED/SIGN_REQUESTED/PROCESS_*)	.../sw-bpm-process/.../service/impl/ApprovalLifecycleServiceImpl.java:1006（调用点 L174/L193/L225/L270/L308/L335/L785）	sw-bpm-process	调用方法级 @Transactional（L129/L281/L315/L344/L408/L487/L513/L576/L754）	@Transactional	转办/委派/沟通/加签/流程态通知	监听侧统一处理	-	-	-	必须交付
发布点	RuleEngineService#evaluateAndTrigger	IotProcessTriggerEvent	sw-basic/sw-basic-iot/.../service/RuleEngineService.java:249（来自 onProperty L64 / onEvent L93）	sw-basic-iot	自身无 @Transactional；调用方 MessageIngestService#ingest 有（L94-95，经 L157-233）	无	规则/脚本命中后触发流程	监听侧统一处理	-	-	-	必须交付
发布点	ScriptHostFunctions#funStartProcess	IotProcessTriggerEvent	sw-basic/sw-basic-iot/.../script/ScriptHostFunctions.java:285（L266-290）	sw-basic-iot	路径上无任何 @Transactional（ScriptEngineService#dryRun L54/realRun L63、IotScriptService#dryRun L129 均无）	无	脚本主动发起流程	AFTER_COMMIT 永不触发，事件静默丢弃	-	-	-	必须交付（当前失效）
发布点	FormSubmitService#submitForm	FormSubmittedEvent	sw-biz/sw-biz-form/sw-biz-form-biz/.../service/FormSubmitService.java:519（仅 flowStartPort==null 兜底分支 L518）	sw-biz-form-biz	方法级 @Transactional(rollbackFor=Exception.class) L236（重载 L252/L267/L282）	@Transactional	表单提交后通知流程模块	生产无监听者，静默丢弃	-	-	-	普通（生产实走 FlowStartPort）
发布点	SwJobBean#executeFlow	ScheduledFlowTriggerEvent	sw-basic/sw-basic-job/sw-basic-job-biz/.../scheduler/SwJobBean.java:178（L167-180）	sw-basic-job-biz	Quartz 线程，无 @Transactional	无	FLOW 类型任务到点发起流程	生产无监听者，静默丢弃；同日写 job_log SUCCESS（L112-118）	-	Javadoc 声明 jobId+fireTime，未实现	sw_job_log	必须交付（当前失效）
