ID	结论	风险级别	影响模块	消费者/调用面	兼容与迁移风险	前置依赖	建议去向	替代选项	关键证据指针	证据类型
BAO-01	PARTIAL	中	sw-common 及其 20 个消费者（含全部 7 个 -api）	7 个 -api + 13 个实现/启动模块	拆分需改 POM 与包名，属编译期改造，需兼容窗口与全量回归	无（Phase 1 已使 -api 类型面干净）	延期，或并入未来「模块与依赖拓扑」阶段作整洁性项	(a) 不拆分，只加依赖收敛与架构守门；(b) 先补守门再决定是否拆	sw-framework/sw-common/pom.xml:32-86（依赖块无 version，全部 BOM 管理；web/redis/mybatis-plus/jsqlparser/dynamic-datasource/security-core/hutool/mapstruct 非 optional）；7 个 -api POM 第 33-37 行；-api 内 com.sw.ck.common 引用仅 5 处（ErrorCode 3 处 import/implements、PageParam 1 处 extends、PageResult 1 处 javadoc）	EFF_POM/TREE/CODE
BAO-02	CONFIRMED	中高	sw-basic-iot、sw-basic-agent、sw-basic-knowledge、sw-bpm-process	bpm-process（编译期调用）、bootstrap（装配）、SPA（HTTP /api/iot/**、/api/agent/**）	抽 iot 契约需改 bpm-process 依赖与 import；agent/knowledge 当前 0 外部编译调用，窗口宽松	无	立项（iot 优先；agent/knowledge 先定边界再拆）	(a) 只抽 iot 契约包并禁止实现依赖，不新建模块；(b) 三模块统一拆分；(c) 仅加 ArchUnit 禁止 -biz 依赖，保留单模块	sw-basic/pom.xml:19-27（三者为扁平单模块，storage/notify/job 为 -api/-biz 子模块）；sw-basic-iot/pom.xml:15-16 packaging=jar；sw-bpm-process/pom.xml:72-74 依赖 sw-basic-iot；BpmDeviceCommandListener.java:4-6 与 :33-35 直接 import iot entity/mapper	POM/TREE/CODE
BAO-03	CONFIRMED	中	sw-basic-iot、sw-biz-form-biz、sw-bootstrap	上述三模块的编译/测试类路径	收敛进 BOM 需验证传递树无收敛冲突，且升级路径需一次全量回归	BAO-04（守门）可先行	合并入「构建与制品治理」阶段	(a) 保留局部例外但登记理由与负责人；(b) 只收敛编译期 3 项、保留 test 项	sw-basic-iot/pom.xml:66-75（tencentcloud-sdk-java-iotexplorer 3.1.1235、fastjson2 2.0.53）；sw-biz-form-biz/pom.xml:65-70（poi-ooxml 5.2.5）；sw-bootstrap/pom.xml:196-203（embedded-postgres 2.1.0，test）；grep 四者于 sw-dependencies/pom.xml = 0 命中	POM
BAO-04	CONFIRMED	中	全仓 33 个 POM	所有构建（本地与 CI）	激活守门可能暴露既有依赖不收敛，需先评估失败面	无	合并入「构建与制品治理」阶段	(a) 只激活 validate + dependencyConvergence（最小修复）；(b) 同时补 banned-dependencies/架构规则	根 pom.xml:78-93（pluginManagement 内 enforcer 3.5.0，rules 仅 dependencyConvergence，无 executions）；mvn -B help:effective-pom -pl sw-biz/sw-biz-form/sw-biz-form-api → build/plugins 为空、enforcer 仅在 pluginManagement；全仓 grep enforcer 仅根 pom 两处	EFF_POM
BAO-05	CONFIRMED	高	sw-bpm-engine、sw-bpm-process、sw-biz-form、sw-basic-iot、sw-basic-job、sw-biz-openapi	5 个跨模块事件、11 个发布点、4 个监听者	引入 outbox 需新表与迁移、改造发布/消费两侧，属不可逆数据面变更，须独立兼容窗口	Planner 先认定 must-deliver 事件清单	立项（优先处理无监听者事件与 IoT 触发链）	(a) 仅对 must-deliver 子集上 Outbox，普通事件保留现状；(b) 复用既有可持久结构（sw_notify_message 模式）而非新表	sw-common/.../event/DomainEventPublisher.java:20-36（同步薄封装，非 @Async、不持久化）；4 个监听者注解 BpmNotifyListener.java:53-54、BpmDeviceCommandListener.java:43-44、IotProcessTriggerListener.java:66-67、OpenApiCallbackListener.java:41-42；ScheduledFlowTriggerEvent 全仓无监听者（仅 SwJobBean.java:171 发布）；FormSubmittedEvent 生产无监听者（仅测试 FormSubmitServiceTest.java:569）	CODE
BAO-06	CONFIRMED	高	sw-biz-form-biz（动态宽表全部读写）、sw-bpm-process、sw-bootstrap（dev runner）	表单提交/查询/更新/删除/导入导出、审批催办、dev 验证器	引入统一执行器需改造 20 条存活裸语句，属数据面重构，需与 07 同回滚点	无（与 07 同阶段）	立项（优先，与 07 同阶段）	(a) 只补缺失的表名/列名校验与 1 处拦截器绕过，不做统一执行器；(b) 引入 Repository/SQL Executor 并加机械守门（成本高、收益最大）	见 -raw-sql.tsv 的 11 处缺口行；核心证据 BpmUrgeServiceImpl.java:233（无 tenant/deleted 的行锁语句）、FormDataDeleteService.java:156-159 与 :213-217（双 fail-open）、FormSubmitService.java:639-645（无 TABLE_NAME_PATTERN）、FormImportExportService.java:792-804（displayCol 绕过 physicalColumnName）、DynamicTableManager.java:186（DDL 仅 PRIMARY KEY）	CODE
BAO-07	CONFIRMED	高	sw-biz-form-biz（FormDataDeleteService / FormFieldEnrichmentService）、动态宽表	删除记录（RESTRICT/CASCADE）、引用写入（提交/更新/导入）	若以 DB 约束修复需新迁移并回填校验，属不可逆 schema 变更；若以锁修复仅改事务内语句	无（与 06 同阶段）	立项（优先，与 06 同阶段）	(a) 先做锁（检查语句加 FOR UPDATE）不动 schema；(b) 先做唯一约束/引用计数表；(c) 串行化（按租户+表单分片锁）	FormDataDeleteService.java:78（@Transactional rollbackFor=Exception，无 isolation）、:153-155（跨租户扫 sw_form_config）、:195-212（非锁定 LIMIT 1 检查）；FormFieldEnrichmentService.java:304-306（写入侧非锁定校验，子表 REFERENCE 在 :261-266 被跳过）；DynamicTableManager.java:162-187（无索引/唯一/FK）；V13__logical_delete_unique_constraints.sql:74（仅 sw_form_config(table_name,deleted) 唯一）；全仓 FOR UPDATE 仅 BpmUrgeServiceImpl.java:233	CODE
BAO-08	CONFIRMED	中低	sw-bootstrap（制品）	生产 fat jar 与其类路径	改 scope 或抽 dev 源集仅影响构建与启动装配，需一次全量回归	无	合并入「构建与制品治理」阶段	(a) 改为 test scope；(b) 保留 runtime 但加制品断言守门；(c) 拆 dev-only 模块	sw-bootstrap/pom.xml:158-162（com.h2database:h2 scope=runtime）；unzip -l sw-bootstrap/target/bootstrap.jar → BOOT-INF/lib/h2-2.3.232.jar；application-prod.yml:26-32（driver=org.postgresql.Driver）；application.yml:39-51（master=PostgreSQL）	POM/ARTIFACT
BAO-09	CONFIRMED	中	根 POM 与所有模块坐标、CI 发布	本地 ~/.m2 与将来的 repository manager、GitHub Release	改版本策略会改全部模块坐标，需一次性全仓同步与 CI 调整	无	合并入「构建与制品治理」阶段	(a) 用 CI-friendly ${revision}（flatten-maven-plugin）；(b) develop 改 SNAPSHOT、发布时置正式版；(c) 仅加发布前置校验（坐标唯一性断言）	根 pom.xml:9（version=0.1.0，非 SNAPSHOT）；git rev-list -n1 0.1.0 = c15428f（develop 前 15 个提交）；git show develop:pom.xml 与 origin/main:pom.xml 均为 0.1.0；.github/workflows/build-release.yml:41（VERSION 从 pom 提取）、:53（TAG=build-${GITHUB_SHA}）；全仓无 revision/flatten 属性	POM/GIT
BAO-10	PARTIAL	中	根 POM prod profile、sw-basic-notify-biz、sw-bpm-engine、sw-security、sw-basic-iot、sw-bootstrap	生产制品内容与运行期装配	改构建隔离需调整 CI 与制品校验，并确认 prod profile 构建可通过	无	合并入「构建与制品治理」阶段	(a) 在 CI 激活 -Pprod 并加制品断言；(b) 改 dev-only 源集/模块替代命名排除；(c) 两者并行	根 pom.xml:99-129（prod profile: compiler excludes **/P58Debug*.java、jar excludes **/P58Debug*.class）；.github/workflows/build-release.yml:35（mvn -B -ntp install，无 -Pprod）；unzip -l bootstrap.jar → 仍含 3 个 P58Debug 类；grep devtools 全仓 0 命中；DebugAuthenticationFilter（WebSecurityAutoConfiguration.java:48-56/110 + SecurityAutoConfiguration.java:85-96 回环/属性/profile 守卫）、MockCloudProvider（IotAutoConfiguration.java:31-44）	POM/ARTIFACT/CODE
